1, private, far_end:amethyst_forest, MONSTER, minecraft:enderman, 33, 4, 4
2, nether, incendium:ash_barrens, MONSTER, minecraft:ghast, 20, 1, 1
3, nether, incendium:ash_barrens, MONSTER, minecraft:magma_cube, 80, 2, 7
4, nether, incendium:ash_barrens, MONSTER, minecraft:piglin, 80, 1, 1
5, nether, incendium:ash_barrens, MONSTER, minecraft:zombified_piglin, 5, 1, 4
6, nether, incendium:ash_barrens, CREATURE, minecraft:strider, 60, 1, 2
7, private, far_end:ashfall_delta, MONSTER, minecraft:wither_skeleton, 7, 1, 2
8, private, far_end:ashfall_delta, MONSTER, minecraft:skeleton, 11, 2, 2
9, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
10, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 19, 4, 4
11, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
12, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
13, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
14, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
15, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
16, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
17, badlands, minecraft:badlands, MONSTER, minecraft:husk, 80, 4, 4
18, badlands, minecraft:badlands, MONSTER, hwg:merc, 5, 1, 2
19, badlands, minecraft:badlands, MONSTER, hwg:spy, 5, 1, 2
20, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
21, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
22, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 20, 4, 4
23, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
24, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
25, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
26, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
27, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
28, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
29, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
30, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
31, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:cave_spider, 80, 4, 4
32, jungle, minecraft:bamboo_jungle, MONSTER, hwg:merc, 5, 1, 2
33, jungle, minecraft:bamboo_jungle, MONSTER, hwg:spy, 5, 1, 2
34, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
35, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
36, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
37, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
38, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
39, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
40, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 2, 4
41, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
42, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
43, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
44, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
45, nether, minecraft:basalt_deltas, MONSTER, hwg:technodemon_greater_1, 5, 1, 1
46, nether, minecraft:basalt_deltas, MONSTER, hwg:technodemon_lesser_1, 5, 1, 2
47, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 5, 1, 4
48, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
49, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
50, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
51, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
52, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
53, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
54, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
55, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
56, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
57, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
58, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
59, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
60, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
61, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
62, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
63, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
64, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
65, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
66, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
67, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
68, forest, minecraft:birch_forest, MONSTER, hwg:merc, 5, 1, 2
69, forest, minecraft:birch_forest, MONSTER, hwg:spy, 5, 1, 2
70, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
71, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
72, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
73, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
74, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
75, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
76, private, stellarity:blazing_dunes, MONSTER, minecraft:blaze, 30, 1, 2
77, private, stellarity:blazing_dunes, MONSTER, minecraft:skeleton, 16, 2, 2
78, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
79, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
80, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
81, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
82, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
83, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
84, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 10, 1, 4
